TID: [-1234] [] [2017-04-14 10:36:09,104]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:36:09,104]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:06,078]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:06,079]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:06,080]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:06,081]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:06,422]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:06,422]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:06,425]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:06,426]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:06,859]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:06,860]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:06,864]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:06,864]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:07,232]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:07,233]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:07,235]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:07,236]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:07,522]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:07,522]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:07,524]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:07,525]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:44:08,072]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:44:08,073]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:44:08,075]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:44:08,076]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1] [] [2017-04-14 10:47:16,979]  INFO {org.wso2.andes.kernel.AndesRecoveryTask} -  Running DB sync task. 
